                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 2.0025,                 2.1886,                 1.9661,                0.48832,                 0.4513,                0.33526,                 0.1739,                 0.8691,                 7.3417,                 1.0649,             0.00094951,             0.00094951,             0.00094951
                     54,                 1.9755,                 2.2618,                 2.0676,                0.45654,                0.36291,                0.30359,                0.15246,                  0.905,                 5.3815,                 1.1064,             0.00094852,             0.00094852,             0.00094852
                     55,                 1.9478,                 2.2919,                 1.9716,                0.61208,                0.39773,                0.34055,                 0.1745,                0.87392,                 8.3884,                  1.068,             0.00094753,             0.00094753,             0.00094753
                     56,                 1.9296,                  2.169,                 1.9387,                0.59925,                0.39668,                0.31557,                 0.1849,                0.96315,                 11.032,                 1.1176,             0.00094654,             0.00094654,             0.00094654
                     57,                 1.9863,                 2.4463,                 2.0713,                0.68983,                0.35953,                0.38077,                0.20641,                 1.2206,                 7.3365,                 1.1795,             0.00094555,             0.00094555,             0.00094555
                     58,                 1.9438,                 2.2251,                 1.9971,                0.52111,                0.46781,                0.40156,                0.21382,                 3.2566,                 9.1654,                 1.8313,             0.00094456,             0.00094456,             0.00094456
                     59,                 1.9935,                 2.6806,                 1.8881,                0.59344,                0.45986,                0.44613,                0.22423,                 2.0875,                 10.671,                 1.4292,             0.00094357,             0.00094357,             0.00094357
                     60,                 1.8791,                 2.1987,                 1.9577,                0.72745,                0.43786,                0.43274,                0.22487,                 1.2667,                 7.6083,                 1.1474,             0.00094258,             0.00094258,             0.00094258
                     61,                 1.9261,                 2.1016,                 1.9736,                0.51882,                0.45304,                0.38062,                0.18594,                 1.1737,                 10.282,                 1.1646,             0.00094159,             0.00094159,             0.00094159
                     62,                 1.9759,                 2.2413,                 1.9969,                 0.5008,                 0.4973,                0.43509,                0.20975,                 1.9447,                 11.813,                 1.4378,              0.0009406,              0.0009406,              0.0009406
                     63,                 1.9094,                 2.0964,                 1.8697,                0.55335,                0.52233,                  0.402,                0.22426,                 1.6297,                 11.525,                 1.2937,             0.00093961,             0.00093961,             0.00093961
